edist	mapq	min_size	count
100	0	0	282957
10	0	0	282957
5	0	0	282957
3	0	0	258512
1	0	0	196004
0	0	0	120031
100	1	0	282957
10	1	0	282957
5	1	0	282957
3	1	0	258512
1	1	0	196004
0	1	0	120031
100	10	0	282957
10	10	0	282957
5	10	0	282957
3	10	0	258512
1	10	0	196004
0	10	0	120031
100	20	0	282957
10	20	0	282957
5	20	0	282957
3	20	0	258512
1	20	0	196004
0	20	0	120031
100	30	0	275930
10	30	0	275930
5	30	0	275930
3	30	0	252583
1	30	0	191975
0	30	0	117694
100	40	0	270370
10	40	0	270370
5	40	0	270370
3	40	0	248002
1	40	0	188877
0	40	0	115890
100	0	1000	7794
10	0	1000	7794
5	0	1000	7794
3	0	1000	7218
1	0	1000	5418
0	0	1000	3091
100	1	1000	7794
10	1	1000	7794
5	1	1000	7794
3	1	1000	7218
1	1	1000	5418
0	1	1000	3091
100	10	1000	7794
10	10	1000	7794
5	10	1000	7794
3	10	1000	7218
1	10	1000	5418
0	10	1000	3091
100	20	1000	7794
10	20	1000	7794
5	20	1000	7794
3	20	1000	7218
1	20	1000	5418
0	20	1000	3091
100	30	1000	7586
10	30	1000	7586
5	30	1000	7586
3	30	1000	7040
1	30	1000	5291
0	30	1000	3020
100	40	1000	7443
10	40	1000	7443
5	40	1000	7443
3	40	1000	6919
1	40	1000	5206
0	40	1000	2980
100	0	2000	5549
10	0	2000	5549
5	0	2000	5549
3	0	2000	5133
1	0	2000	3851
0	0	2000	2219
100	1	2000	5549
10	1	2000	5549
5	1	2000	5549
3	1	2000	5133
1	1	2000	3851
0	1	2000	2219
100	10	2000	5549
10	10	2000	5549
5	10	2000	5549
3	10	2000	5133
1	10	2000	3851
0	10	2000	2219
100	20	2000	5549
10	20	2000	5549
5	20	2000	5549
3	20	2000	5133
1	20	2000	3851
0	20	2000	2219
100	30	2000	5402
10	30	2000	5402
5	30	2000	5402
3	30	2000	5008
1	30	2000	3765
0	30	2000	2170
100	40	2000	5300
10	40	2000	5300
5	40	2000	5300
3	40	2000	4922
1	40	2000	3706
0	40	2000	2141
100	0	5000	3759
10	0	5000	3759
5	0	5000	3759
3	0	5000	3489
1	0	5000	2641
0	0	5000	1557
100	1	5000	3759
10	1	5000	3759
5	1	5000	3759
3	1	5000	3489
1	1	5000	2641
0	1	5000	1557
100	10	5000	3759
10	10	5000	3759
5	10	5000	3759
3	10	5000	3489
1	10	5000	2641
0	10	5000	1557
100	20	5000	3759
10	20	5000	3759
5	20	5000	3759
3	20	5000	3489
1	20	5000	2641
0	20	5000	1557
100	30	5000	3662
10	30	5000	3662
5	30	5000	3662
3	30	5000	3405
1	30	5000	2583
0	30	5000	1524
100	40	5000	3586
10	40	5000	3586
5	40	5000	3586
3	40	5000	3341
1	40	5000	2542
0	40	5000	1502
100	0	10000	3212
10	0	10000	3212
5	0	10000	3212
3	0	10000	2977
1	0	10000	2264
0	0	10000	1324
100	1	10000	3212
10	1	10000	3212
5	1	10000	3212
3	1	10000	2977
1	1	10000	2264
0	1	10000	1324
100	10	10000	3212
10	10	10000	3212
5	10	10000	3212
3	10	10000	2977
1	10	10000	2264
0	10	10000	1324
100	20	10000	3212
10	20	10000	3212
5	20	10000	3212
3	20	10000	2977
1	20	10000	2264
0	20	10000	1324
100	30	10000	3133
10	30	10000	3133
5	30	10000	3133
3	30	10000	2909
1	30	10000	2216
0	30	10000	1294
100	40	10000	3068
10	40	10000	3068
5	40	10000	3068
3	40	10000	2855
1	40	10000	2181
0	40	10000	1276
100	0	20000	2986
10	0	20000	2986
5	0	20000	2986
3	0	20000	2780
1	0	20000	2122
0	0	20000	1250
100	1	20000	2986
10	1	20000	2986
5	1	20000	2986
3	1	20000	2780
1	1	20000	2122
0	1	20000	1250
100	10	20000	2986
10	10	20000	2986
5	10	20000	2986
3	10	20000	2780
1	10	20000	2122
0	10	20000	1250
100	20	20000	2986
10	20	20000	2986
5	20	20000	2986
3	20	20000	2780
1	20	20000	2122
0	20	20000	1250
100	30	20000	2914
10	30	20000	2914
5	30	20000	2914
3	30	20000	2718
1	30	20000	2078
0	30	20000	1222
100	40	20000	2854
10	40	20000	2854
5	40	20000	2854
3	40	20000	2667
1	40	20000	2044
0	40	20000	1204
100	0	50000	2740
10	0	50000	2740
5	0	50000	2740
3	0	50000	2561
1	0	50000	1954
0	0	50000	1151
100	1	50000	2740
10	1	50000	2740
5	1	50000	2740
3	1	50000	2561
1	1	50000	1954
0	1	50000	1151
100	10	50000	2740
10	10	50000	2740
5	10	50000	2740
3	10	50000	2561
1	10	50000	1954
0	10	50000	1151
100	20	50000	2740
10	20	50000	2740
5	20	50000	2740
3	20	50000	2561
1	20	50000	1954
0	20	50000	1151
100	30	50000	2676
10	30	50000	2676
5	30	50000	2676
3	30	50000	2504
1	30	50000	1913
0	30	50000	1124
100	40	50000	2623
10	40	50000	2623
5	40	50000	2623
3	40	50000	2457
1	40	50000	1879
0	40	50000	1106
