edist	mapq	min_size	count
100	0	0	158345
10	0	0	150558
5	0	0	137261
3	0	0	124230
1	0	0	92915
0	0	0	56436
100	1	0	143705
10	1	0	137047
5	1	0	125296
3	1	0	113646
1	1	0	85156
0	1	0	51577
100	10	0	138248
10	10	0	132208
5	10	0	121332
3	10	0	110354
1	10	0	83049
0	10	0	50420
100	20	0	135113
10	20	0	129552
5	20	0	119175
3	20	0	108527
1	20	0	81796
0	20	0	49699
100	30	0	131062
10	30	0	126072
5	30	0	116274
3	30	0	106072
1	30	0	80141
0	30	0	48769
100	40	0	127750
10	40	0	123263
5	40	0	113991
3	40	0	104206
1	40	0	78912
0	40	0	48055
100	0	1000	3333
10	0	1000	3191
5	0	1000	2917
3	0	1000	2666
1	0	1000	2000
0	0	1000	1078
100	1	1000	2848
10	1	1000	2738
5	1	1000	2518
3	1	1000	2314
1	1	1000	1753
0	1	1000	944
100	10	1000	2745
10	10	1000	2651
5	10	1000	2444
3	10	1000	2253
1	10	1000	1717
0	10	1000	926
100	20	1000	2681
10	20	1000	2595
5	20	1000	2398
3	20	1000	2211
1	20	1000	1692
0	20	1000	911
100	30	1000	2607
10	30	1000	2530
5	30	1000	2338
3	30	1000	2158
1	30	1000	1659
0	30	1000	900
100	40	1000	2558
10	40	1000	2486
5	40	1000	2298
3	40	1000	2125
1	40	1000	1635
0	40	1000	892
100	0	2000	2078
10	0	2000	1984
5	0	2000	1827
3	0	2000	1670
1	0	2000	1258
0	0	2000	680
100	1	2000	1763
10	1	2000	1691
5	1	2000	1559
3	1	2000	1428
1	1	2000	1083
0	1	2000	591
100	10	2000	1704
10	10	2000	1641
5	10	2000	1515
3	10	2000	1393
1	10	2000	1059
0	10	2000	578
100	20	2000	1668
10	20	2000	1608
5	20	2000	1487
3	20	2000	1368
1	20	2000	1043
0	20	2000	570
100	30	2000	1621
10	30	2000	1568
5	30	2000	1450
3	30	2000	1335
1	30	2000	1024
0	30	2000	565
100	40	2000	1591
10	40	2000	1543
5	40	2000	1428
3	40	2000	1317
1	40	2000	1011
0	40	2000	560
100	0	5000	1090
10	0	5000	1037
5	0	5000	957
3	0	5000	877
1	0	5000	661
0	0	5000	363
100	1	5000	887
10	1	5000	848
5	1	5000	785
3	1	5000	720
1	1	5000	548
0	1	5000	306
100	10	5000	843
10	10	5000	812
5	10	5000	755
3	10	5000	697
1	10	5000	532
0	10	5000	295
100	20	5000	821
10	20	5000	792
5	20	5000	738
3	20	5000	682
1	20	5000	521
0	20	5000	290
100	30	5000	799
10	30	5000	773
5	30	5000	721
3	30	5000	665
1	30	5000	510
0	30	5000	287
100	40	5000	783
10	40	5000	759
5	40	5000	708
3	40	5000	655
1	40	5000	504
0	40	5000	284
100	0	10000	793
10	0	10000	755
5	0	10000	691
3	0	10000	630
1	0	10000	482
0	0	10000	257
100	1	10000	638
10	1	10000	612
5	1	10000	563
3	1	10000	512
1	1	10000	396
0	1	10000	211
100	10	10000	602
10	10	10000	582
5	10	10000	539
3	10	10000	494
1	10	10000	384
0	10	10000	204
100	20	10000	582
10	20	10000	564
5	20	10000	523
3	20	10000	480
1	20	10000	374
0	20	10000	199
100	30	10000	570
10	30	10000	554
5	30	10000	515
3	30	10000	472
1	30	10000	369
0	30	10000	197
100	40	10000	559
10	40	10000	543
5	40	10000	505
3	40	10000	464
1	40	10000	364
0	40	10000	195
100	0	20000	682
10	0	20000	649
5	0	20000	590
3	0	20000	545
1	0	20000	419
0	0	20000	228
100	1	20000	542
10	1	20000	521
5	1	20000	476
3	1	20000	439
1	1	20000	338
0	1	20000	185
100	10	20000	515
10	10	20000	499
5	10	20000	457
3	10	20000	425
1	10	20000	329
0	10	20000	180
100	20	20000	498
10	20	20000	484
5	20	20000	444
3	20	20000	413
1	20	20000	321
0	20	20000	175
100	30	20000	488
10	30	20000	476
5	30	20000	438
3	30	20000	407
1	30	20000	318
0	30	20000	174
100	40	20000	478
10	40	20000	466
5	40	20000	429
3	40	20000	399
1	40	20000	313
0	40	20000	172
100	0	50000	562
10	0	50000	534
5	0	50000	492
3	0	50000	458
1	0	50000	355
0	0	50000	196
100	1	50000	445
10	1	50000	426
5	1	50000	395
3	1	50000	367
1	1	50000	287
0	1	50000	160
100	10	50000	422
10	10	50000	408
5	10	50000	379
3	10	50000	355
1	10	50000	279
0	10	50000	156
100	20	50000	410
10	20	50000	398
5	20	50000	370
3	20	50000	347
1	20	50000	273
0	20	50000	151
100	30	50000	401
10	30	50000	391
5	30	50000	365
3	30	50000	342
1	30	50000	270
0	30	50000	150
100	40	50000	394
10	40	50000	384
5	40	50000	358
3	40	50000	335
1	40	50000	265
0	40	50000	148
