edist	mapq	min_size	count
100	0	0	160003
10	0	0	152148
5	0	0	138722
3	0	0	125541
1	0	0	93891
0	0	0	56982
100	1	0	144849
10	1	0	138156
5	1	0	126307
3	1	0	114564
1	1	0	85846
0	1	0	51952
100	10	0	139307
10	10	0	133240
5	10	0	122277
3	10	0	111213
1	10	0	83695
0	10	0	50763
100	20	0	136135
10	20	0	130543
5	20	0	120090
3	20	0	109358
1	20	0	82416
0	20	0	50030
100	30	0	132055
10	30	0	127033
5	30	0	117169
3	30	0	106890
1	30	0	80755
0	30	0	49097
100	40	0	128694
10	40	0	124185
5	40	0	114857
3	40	0	104996
1	40	0	79505
0	40	0	48372
100	0	1000	4899
10	0	1000	4692
5	0	1000	4277
3	0	1000	3898
1	0	1000	2907
0	0	1000	1582
100	1	1000	3941
10	1	1000	3794
5	1	1000	3479
3	1	1000	3192
1	1	1000	2401
0	1	1000	1301
100	10	1000	3768
10	10	1000	3644
5	10	1000	3353
3	10	1000	3084
1	10	1000	2329
0	10	1000	1263
100	20	1000	3659
10	20	1000	3549
5	20	1000	3276
3	20	1000	3016
1	20	1000	2285
0	20	1000	1236
100	30	1000	3546
10	30	1000	3447
5	30	1000	3189
3	30	1000	2940
1	30	1000	2235
0	30	1000	1215
100	40	1000	3469
10	40	1000	3378
5	40	1000	3131
3	40	1000	2893
1	40	1000	2199
0	40	1000	1202
100	0	2000	3636
10	0	2000	3477
5	0	2000	3178
3	0	2000	2892
1	0	2000	2154
0	0	2000	1169
100	1	2000	2852
10	1	2000	2743
5	1	2000	2518
3	1	2000	2303
1	1	2000	1726
0	1	2000	940
100	10	2000	2723
10	10	2000	2630
5	10	2000	2423
3	10	2000	2222
1	10	2000	1668
0	10	2000	907
100	20	2000	2642
10	20	2000	2558
5	20	2000	2364
3	20	2000	2171
1	20	2000	1632
0	20	2000	886
100	30	2000	2558
10	30	2000	2483
5	30	2000	2302
3	30	2000	2116
1	30	2000	1597
0	30	2000	872
100	40	2000	2500
10	40	2000	2433
5	40	2000	2262
3	40	2000	2084
1	40	2000	1572
0	40	2000	862
100	0	5000	2633
10	0	5000	2517
5	0	5000	2303
3	0	5000	2095
1	0	5000	1558
0	0	5000	852
100	1	5000	1966
10	1	5000	1892
5	1	5000	1739
3	1	5000	1591
1	1	5000	1189
0	1	5000	657
100	10	5000	1854
10	10	5000	1794
5	10	5000	1659
3	10	5000	1523
1	10	5000	1140
0	10	5000	626
100	20	5000	1790
10	20	5000	1738
5	20	5000	1613
3	20	5000	1483
1	20	5000	1109
0	20	5000	608
100	30	5000	1731
10	30	5000	1683
5	30	5000	1569
3	30	5000	1442
1	30	5000	1082
0	30	5000	596
100	40	5000	1687
10	40	5000	1644
5	40	5000	1538
3	40	5000	1418
1	40	5000	1064
0	40	5000	588
100	0	10000	2292
10	0	10000	2198
5	0	10000	2004
3	0	10000	1820
1	0	10000	1359
0	0	10000	736
100	1	10000	1692
10	1	10000	1630
5	1	10000	1493
3	1	10000	1361
1	1	10000	1023
0	1	10000	555
100	10	10000	1588
10	10	10000	1539
5	10	10000	1420
3	10	10000	1299
1	10	10000	979
0	10	10000	529
100	20	10000	1526
10	20	10000	1485
5	20	10000	1375
3	20	10000	1260
1	20	10000	949
0	20	10000	511
100	30	10000	1479
10	30	10000	1441
5	30	10000	1342
3	30	10000	1230
1	30	10000	929
0	30	10000	500
100	40	10000	1441
10	40	10000	1406
5	40	10000	1315
3	40	10000	1209
1	40	10000	912
0	40	10000	493
100	0	20000	2102
10	0	20000	2020
5	0	20000	1838
3	0	20000	1680
1	0	20000	1258
0	0	20000	688
100	1	20000	1546
10	1	20000	1494
5	1	20000	1365
3	1	20000	1254
1	1	20000	942
0	1	20000	518
100	10	20000	1462
10	10	20000	1421
5	10	20000	1306
3	10	20000	1203
1	10	20000	906
0	10	20000	496
100	20	20000	1407
10	20	20000	1372
5	20	20000	1266
3	20	20000	1168
1	20	20000	879
0	20	20000	479
100	30	20000	1364
10	30	20000	1332
5	30	20000	1237
3	30	20000	1141
1	30	20000	862
0	30	20000	470
100	40	20000	1327
10	40	20000	1298
5	40	20000	1211
3	40	20000	1120
1	40	20000	845
0	40	20000	463
100	0	50000	1913
10	0	50000	1841
5	0	50000	1690
3	0	50000	1555
1	0	50000	1171
0	0	50000	643
100	1	50000	1401
10	1	50000	1355
5	1	50000	1251
3	1	50000	1155
1	1	50000	871
0	1	50000	482
100	10	50000	1332
10	10	50000	1295
5	10	50000	1199
3	10	50000	1110
1	10	50000	838
0	10	50000	462
100	20	50000	1287
10	20	50000	1255
5	20	50000	1167
3	20	50000	1083
1	20	50000	817
0	20	50000	446
100	30	50000	1249
10	30	50000	1220
5	30	50000	1141
3	30	50000	1058
1	30	50000	801
0	30	50000	437
100	40	50000	1217
10	40	50000	1191
5	40	50000	1118
3	40	50000	1038
1	40	50000	784
0	40	50000	430
