edist	mapq	min_size	count
100	0	0	280905
10	0	0	280905
5	0	0	280905
3	0	0	256612
1	0	0	194595
0	0	0	119222
100	1	0	280905
10	1	0	280905
5	1	0	280905
3	1	0	256612
1	1	0	194595
0	1	0	119222
100	10	0	280905
10	10	0	280905
5	10	0	280905
3	10	0	256612
1	10	0	194595
0	10	0	119222
100	20	0	280905
10	20	0	280905
5	20	0	280905
3	20	0	256612
1	20	0	194595
0	20	0	119222
100	30	0	273951
10	30	0	273951
5	30	0	273951
3	30	0	250732
1	30	0	190595
0	30	0	116910
100	40	0	268448
10	40	0	268448
5	40	0	268448
3	40	0	246205
1	40	0	187546
0	40	0	115132
100	0	1000	5771
10	0	1000	5771
5	0	1000	5771
3	0	1000	5341
1	0	1000	4021
0	0	1000	2276
100	1	1000	5771
10	1	1000	5771
5	1	1000	5771
3	1	1000	5341
1	1	1000	4021
0	1	1000	2276
100	10	1000	5771
10	10	1000	5771
5	10	1000	5771
3	10	1000	5341
1	10	1000	4021
0	10	1000	2276
100	20	1000	5771
10	20	1000	5771
5	20	1000	5771
3	20	1000	5341
1	20	1000	4021
0	20	1000	2276
100	30	1000	5625
10	30	1000	5625
5	30	1000	5625
3	30	1000	5214
1	30	1000	3931
0	30	1000	2228
100	40	1000	5535
10	40	1000	5535
5	40	1000	5535
3	40	1000	5139
1	40	1000	3876
0	40	1000	2203
100	0	2000	3543
10	0	2000	3543
5	0	2000	3543
3	0	2000	3272
1	0	2000	2466
0	0	2000	1419
100	1	2000	3543
10	1	2000	3543
5	1	2000	3543
3	1	2000	3272
1	1	2000	2466
0	1	2000	1419
100	10	2000	3543
10	10	2000	3543
5	10	2000	3543
3	10	2000	3272
1	10	2000	2466
0	10	2000	1419
100	20	2000	3543
10	20	2000	3543
5	20	2000	3543
3	20	2000	3272
1	20	2000	2466
0	20	2000	1419
100	30	2000	3456
10	30	2000	3456
5	30	2000	3456
3	30	2000	3198
1	30	2000	2416
0	30	2000	1392
100	40	2000	3404
10	40	2000	3404
5	40	2000	3404
3	40	2000	3155
1	40	2000	2387
0	40	2000	1378
100	0	5000	1777
10	0	5000	1777
5	0	5000	1777
3	0	5000	1651
1	0	5000	1269
0	0	5000	760
100	1	5000	1777
10	1	5000	1777
5	1	5000	1777
3	1	5000	1651
1	1	5000	1269
0	1	5000	760
100	10	5000	1777
10	10	5000	1777
5	10	5000	1777
3	10	5000	1651
1	10	5000	1269
0	10	5000	760
100	20	5000	1777
10	20	5000	1777
5	20	5000	1777
3	20	5000	1651
1	20	5000	1269
0	20	5000	760
100	30	5000	1740
10	30	5000	1740
5	30	5000	1740
3	30	5000	1618
1	30	5000	1247
0	30	5000	749
100	40	5000	1713
10	40	5000	1713
5	40	5000	1713
3	40	5000	1596
1	40	5000	1235
0	40	5000	742
100	0	10000	1280
10	0	10000	1280
5	0	10000	1280
3	0	10000	1186
1	0	10000	923
0	0	10000	545
100	1	10000	1280
10	1	10000	1280
5	1	10000	1280
3	1	10000	1186
1	1	10000	923
0	1	10000	545
100	10	10000	1280
10	10	10000	1280
5	10	10000	1280
3	10	10000	1186
1	10	10000	923
0	10	10000	545
100	20	10000	1280
10	20	10000	1280
5	20	10000	1280
3	20	10000	1186
1	20	10000	923
0	20	10000	545
100	30	10000	1257
10	30	10000	1257
5	30	10000	1257
3	30	10000	1166
1	30	10000	910
0	30	10000	537
100	40	10000	1238
10	40	10000	1238
5	40	10000	1238
3	40	10000	1151
1	40	10000	902
0	40	10000	532
100	0	20000	1118
10	0	20000	1118
5	0	20000	1118
3	0	20000	1045
1	0	20000	816
0	0	20000	484
100	1	20000	1118
10	1	20000	1118
5	1	20000	1118
3	1	20000	1045
1	1	20000	816
0	1	20000	484
100	10	20000	1118
10	10	20000	1118
5	10	20000	1118
3	10	20000	1045
1	10	20000	816
0	10	20000	484
100	20	20000	1118
10	20	20000	1118
5	20	20000	1118
3	20	20000	1045
1	20	20000	816
0	20	20000	484
100	30	20000	1098
10	30	20000	1098
5	30	20000	1098
3	30	20000	1028
1	30	20000	805
0	30	20000	477
100	40	20000	1080
10	40	20000	1080
5	40	20000	1080
3	40	20000	1013
1	40	20000	797
0	40	20000	472
100	0	50000	933
10	0	50000	933
5	0	50000	933
3	0	50000	874
1	0	50000	684
0	0	50000	409
100	1	50000	933
10	1	50000	933
5	1	50000	933
3	1	50000	874
1	1	50000	684
0	1	50000	409
100	10	50000	933
10	10	50000	933
5	10	50000	933
3	10	50000	874
1	10	50000	684
0	10	50000	409
100	20	50000	933
10	20	50000	933
5	20	50000	933
3	20	50000	874
1	20	50000	684
0	20	50000	409
100	30	50000	918
10	30	50000	918
5	30	50000	918
3	30	50000	861
1	30	50000	675
0	30	50000	403
100	40	50000	905
10	40	50000	905
5	40	50000	905
3	40	50000	849
1	40	50000	667
0	40	50000	398
