edist	mapq	min_size	count
100	0	0	368097
10	0	0	368097
5	0	0	368097
3	0	0	339713
1	0	0	263738
0	0	0	165877
100	1	0	368097
10	1	0	368097
5	1	0	368097
3	1	0	339713
1	1	0	263738
0	1	0	165877
100	10	0	368097
10	10	0	368097
5	10	0	368097
3	10	0	339713
1	10	0	263738
0	10	0	165877
100	20	0	368097
10	20	0	368097
5	20	0	368097
3	20	0	339713
1	20	0	263738
0	20	0	165877
100	30	0	360058
10	30	0	360058
5	30	0	360058
3	30	0	333050
1	30	0	259197
0	30	0	163207
100	40	0	353609
10	40	0	353609
5	40	0	353609
3	40	0	327816
1	40	0	255564
0	40	0	161084
100	0	1000	10025
10	0	1000	10025
5	0	1000	10025
3	0	1000	9238
1	0	1000	6928
0	0	1000	3915
100	1	1000	10025
10	1	1000	10025
5	1	1000	10025
3	1	1000	9238
1	1	1000	6928
0	1	1000	3915
100	10	1000	10025
10	10	1000	10025
5	10	1000	10025
3	10	1000	9238
1	10	1000	6928
0	10	1000	3915
100	20	1000	10025
10	20	1000	10025
5	20	1000	10025
3	20	1000	9238
1	20	1000	6928
0	20	1000	3915
100	30	1000	9716
10	30	1000	9716
5	30	1000	9716
3	30	1000	8990
1	30	1000	6767
0	30	1000	3835
100	40	1000	9487
10	40	1000	9487
5	40	1000	9487
3	40	1000	8804
1	40	1000	6645
0	40	1000	3778
100	0	2000	7333
10	0	2000	7333
5	0	2000	7333
3	0	2000	6735
1	0	2000	5058
0	0	2000	2887
100	1	2000	7333
10	1	2000	7333
5	1	2000	7333
3	1	2000	6735
1	1	2000	5058
0	1	2000	2887
100	10	2000	7333
10	10	2000	7333
5	10	2000	7333
3	10	2000	6735
1	10	2000	5058
0	10	2000	2887
100	20	2000	7333
10	20	2000	7333
5	20	2000	7333
3	20	2000	6735
1	20	2000	5058
0	20	2000	2887
100	30	2000	7091
10	30	2000	7091
5	30	2000	7091
3	30	2000	6543
1	30	2000	4934
0	30	2000	2824
100	40	2000	6915
10	40	2000	6915
5	40	2000	6915
3	40	2000	6403
1	40	2000	4842
0	40	2000	2779
100	0	5000	5114
10	0	5000	5114
5	0	5000	5114
3	0	5000	4695
1	0	5000	3535
0	0	5000	2062
100	1	5000	5114
10	1	5000	5114
5	1	5000	5114
3	1	5000	4695
1	1	5000	3535
0	1	5000	2062
100	10	5000	5114
10	10	5000	5114
5	10	5000	5114
3	10	5000	4695
1	10	5000	3535
0	10	5000	2062
100	20	5000	5114
10	20	5000	5114
5	20	5000	5114
3	20	5000	4695
1	20	5000	3535
0	20	5000	2062
100	30	5000	4928
10	30	5000	4928
5	30	5000	4928
3	30	5000	4548
1	30	5000	3442
0	30	5000	2013
100	40	5000	4793
10	40	5000	4793
5	40	5000	4793
3	40	5000	4439
1	40	5000	3373
0	40	5000	1978
100	0	10000	4421
10	0	10000	4421
5	0	10000	4421
3	0	10000	4055
1	0	10000	3054
0	0	10000	1765
100	1	10000	4421
10	1	10000	4421
5	1	10000	4421
3	1	10000	4055
1	1	10000	3054
0	1	10000	1765
100	10	10000	4421
10	10	10000	4421
5	10	10000	4421
3	10	10000	4055
1	10	10000	3054
0	10	10000	1765
100	20	10000	4421
10	20	10000	4421
5	20	10000	4421
3	20	10000	4055
1	20	10000	3054
0	20	10000	1765
100	30	10000	4261
10	30	10000	4261
5	30	10000	4261
3	30	10000	3929
1	30	10000	2975
0	30	10000	1722
100	40	10000	4140
10	40	10000	4140
5	40	10000	4140
3	40	10000	3832
1	40	10000	2914
0	40	10000	1692
100	0	20000	4090
10	0	20000	4090
5	0	20000	4090
3	0	20000	3772
1	0	20000	2851
0	0	20000	1665
100	1	20000	4090
10	1	20000	4090
5	1	20000	4090
3	1	20000	3772
1	1	20000	2851
0	1	20000	1665
100	10	20000	4090
10	10	20000	4090
5	10	20000	4090
3	10	20000	3772
1	10	20000	2851
0	10	20000	1665
100	20	20000	4090
10	20	20000	4090
5	20	20000	4090
3	20	20000	3772
1	20	20000	2851
0	20	20000	1665
100	30	20000	3948
10	30	20000	3948
5	30	20000	3948
3	30	20000	3659
1	30	20000	2781
0	30	20000	1625
100	40	20000	3836
10	40	20000	3836
5	40	20000	3836
3	40	20000	3568
1	40	20000	2722
0	40	20000	1597
100	0	50000	3751
10	0	50000	3751
5	0	50000	3751
3	0	50000	3481
1	0	50000	2644
0	0	50000	1543
100	1	50000	3751
10	1	50000	3751
5	1	50000	3751
3	1	50000	3481
1	1	50000	2644
0	1	50000	1543
100	10	50000	3751
10	10	50000	3751
5	10	50000	3751
3	10	50000	3481
1	10	50000	2644
0	10	50000	1543
100	20	50000	3751
10	20	50000	3751
5	20	50000	3751
3	20	50000	3481
1	20	50000	2644
0	20	50000	1543
100	30	50000	3629
10	30	50000	3629
5	30	50000	3629
3	30	50000	3379
1	30	50000	2579
0	30	50000	1504
100	40	50000	3532
10	40	50000	3532
5	40	50000	3532
3	40	50000	3297
1	40	50000	2522
0	40	50000	1477
