edist	mapq	min_size	count
100	0	0	199554
10	0	0	190099
5	0	0	172847
3	0	0	156009
1	0	0	116702
0	0	0	71361
100	1	0	180039
10	1	0	171960
5	1	0	156895
3	1	0	141926
1	1	0	106355
0	1	0	64765
100	10	0	173310
10	10	0	166043
5	10	0	152170
3	10	0	138108
1	10	0	103982
0	10	0	63478
100	20	0	169396
10	20	0	162747
5	20	0	149493
3	20	0	135860
1	20	0	102441
0	20	0	62608
100	30	0	164545
10	30	0	158624
5	30	0	146182
3	30	0	133182
1	30	0	100658
0	30	0	61599
100	40	0	160493
10	40	0	155234
5	40	0	143526
3	40	0	131070
1	40	0	99230
0	40	0	60778
100	0	1000	7334
10	0	1000	6880
5	0	1000	6031
3	0	1000	5345
1	0	1000	3829
0	0	1000	2058
100	1	1000	5163
10	1	1000	4898
5	1	1000	4364
3	1	1000	3924
1	1	1000	2850
0	1	1000	1532
100	10	1000	4759
10	10	1000	4574
5	10	1000	4127
3	10	1000	3739
1	10	1000	2736
0	10	1000	1482
100	20	1000	4569
10	20	1000	4415
5	20	1000	4011
3	20	1000	3644
1	20	1000	2678
0	20	1000	1449
100	30	1000	4385
10	30	1000	4253
5	30	1000	3884
3	30	1000	3542
1	30	1000	2615
0	30	1000	1422
100	40	1000	4260
10	40	1000	4143
5	40	1000	3801
3	40	1000	3474
1	40	1000	2569
0	40	1000	1403
100	0	2000	5845
10	0	2000	5475
5	0	2000	4806
3	0	2000	4232
1	0	2000	3027
0	0	2000	1616
100	1	2000	3926
10	1	2000	3706
5	1	2000	3287
3	1	2000	2929
1	1	2000	2127
0	1	2000	1141
100	10	2000	3578
10	10	2000	3427
5	10	2000	3082
3	10	2000	2775
1	10	2000	2026
0	10	2000	1094
100	20	2000	3418
10	20	2000	3293
5	20	2000	2984
3	20	2000	2696
1	20	2000	1977
0	20	2000	1067
100	30	2000	3270
10	30	2000	3165
5	30	2000	2885
3	30	2000	2618
1	30	2000	1929
0	30	2000	1046
100	40	2000	3167
10	40	2000	3076
5	40	2000	2822
3	40	2000	2567
1	40	2000	1895
0	40	2000	1031
100	0	5000	4573
10	0	5000	4284
5	0	5000	3748
3	0	5000	3284
1	0	5000	2332
0	0	5000	1250
100	1	5000	2824
10	1	5000	2669
5	1	5000	2361
3	1	5000	2092
1	1	5000	1514
0	1	5000	824
100	10	5000	2513
10	10	5000	2415
5	10	5000	2173
3	10	5000	1950
1	10	5000	1421
0	10	5000	780
100	20	5000	2377
10	20	5000	2302
5	20	5000	2092
3	20	5000	1884
1	20	5000	1377
0	20	5000	755
100	30	5000	2262
10	30	5000	2199
5	30	5000	2013
3	30	5000	1822
1	30	5000	1339
0	30	5000	736
100	40	5000	2185
10	40	5000	2128
5	40	5000	1965
3	40	5000	1783
1	40	5000	1313
0	40	5000	723
100	0	10000	4060
10	0	10000	3815
5	0	10000	3330
3	0	10000	2913
1	0	10000	2065
0	0	10000	1096
100	1	10000	2457
10	1	10000	2324
5	1	10000	2049
3	1	10000	1810
1	1	10000	1311
0	1	10000	703
100	10	10000	2169
10	10	10000	2086
5	10	10000	1874
3	10	10000	1677
1	10	10000	1225
0	10	10000	664
100	20	10000	2041
10	20	10000	1980
5	20	10000	1795
3	20	10000	1613
1	20	10000	1182
0	20	10000	639
100	30	10000	1943
10	30	10000	1893
5	30	10000	1731
3	30	10000	1563
1	30	10000	1152
0	30	10000	622
100	40	10000	1873
10	40	10000	1827
5	40	10000	1688
3	40	10000	1529
1	40	10000	1129
0	40	10000	611
100	0	20000	3705
10	0	20000	3491
5	0	20000	3059
3	0	20000	2692
1	0	20000	1916
0	0	20000	1019
100	1	20000	2222
10	1	20000	2109
5	1	20000	1867
3	1	20000	1663
1	1	20000	1208
0	1	20000	653
100	10	20000	1977
10	10	20000	1906
5	10	20000	1715
3	10	20000	1543
1	10	20000	1131
0	10	20000	619
100	20	20000	1861
10	20	20000	1809
5	20	20000	1641
3	20	20000	1483
1	20	20000	1091
0	20	20000	596
100	30	20000	1774
10	30	20000	1732
5	30	20000	1584
3	30	20000	1438
1	30	20000	1064
0	30	20000	580
100	40	20000	1714
10	40	20000	1676
5	40	20000	1544
3	40	20000	1406
1	40	20000	1041
0	40	20000	569
100	0	50000	3304
10	0	50000	3139
5	0	50000	2781
3	0	50000	2473
1	0	50000	1779
0	0	50000	948
100	1	50000	1976
10	1	50000	1894
5	1	50000	1706
3	1	50000	1531
1	1	50000	1123
0	1	50000	611
100	10	50000	1777
10	10	50000	1720
5	10	50000	1565
3	10	50000	1419
1	10	50000	1049
0	10	50000	578
100	20	50000	1684
10	20	50000	1641
5	20	50000	1504
3	20	50000	1368
1	20	50000	1015
0	20	50000	556
100	30	50000	1614
10	30	50000	1578
5	30	50000	1458
3	30	50000	1330
1	30	50000	992
0	30	50000	541
100	40	50000	1565
10	40	50000	1533
5	40	50000	1423
3	40	50000	1301
1	40	50000	970
0	40	50000	530
